"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $234.62/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0xd9c3b68732cd085399d17ed76d227fcd208d8f382505e3b182c7e2e4532814b2","7911092","1559897766","2019-06-07 08:56:06","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","1","234.62","0.000280296","0.06576304752","249.54","","",""
"0xe1bcb8dabd12ca05787f879ac7acbebdf9caac48be1e3069bd1d454a3ea3a819","7911466","1559902858","2019-06-07 10:20:58","0xcdc63d625c09497468ed9fc6b4e65fbf766b000f","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","1.04766834","0","245.8039459308","0.000273","0.06405126","249.54","","",""
"0x406f563e435662481c76698b73201a2655a0d2581b0fd38fa141e0c14e7fbe3d","7913011","1559923958","2019-06-07 16:12:38","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","1","234.62","0.000280296","0.06576304752","249.54","","",""
"0x5ef72c5ec0b9c3ed911af32e0580d52c5dc26b4f0bc9374c0ffdfec124b1150c","7914552","1559944847","2019-06-07 22:00:47","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.03631536","8.5203097632","249.54","","",""
"0x30d9d4861a070e37b218460eb4c384366c3a53a35b0b35c7aa375cf18ef1df9d","7914563","1559944971","2019-06-07 22:02:51","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.000612792","0.14377325904","249.54","","",""
"0x9f67490ff8720b9b5b3000adef4a884f072613791d3756ce223f3d1bd74d4a2b","7914567","1559945027","2019-06-07 22:03:47","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","0","0","0.001042308","0.24454630296","249.54","","",""
"0xcf4701b881c9d5b7cde091c653a2d45d7215960841384a868617a41a11a9bb43","7918336","1559996396","2019-06-08 12:19:56","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","0.2","46.924","0.00207944","0.4878782128","244.40","Error(0)","Reverted",""
"0x0b98fbebe51683da2f898dff127f725ab5f4998cb6eb62072e8202bdfb26df5f","7918336","1559996396","2019-06-08 12:19:56","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.00306268","0.7185659816","244.40","","",""
"0xded8d5573e7022b57c24bd36d74dd2d5378ed4bbecef200187f70a3d280c17f2","7918391","1559997251","2019-06-08 12:34:11","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.03515168","8.2472871616","244.40","","",""
"0x7908441eedb133eed7a13a9ced473affe752ae839ec0ff423c6d3a7e5309ff82","7918418","1559997611","2019-06-08 12:40:11","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","0.5","117.31","0.00248282","0.5825192284","244.40","","",""
"0x8b6fea4ae736e8b0d60cfdeeeca62ae48ee7a4cff2621a05f2e3f0304c3ec794","7918491","1559998592","2019-06-08 12:56:32","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00092486","0.2169906532","244.40","Error(0)","Reverted",""
"0x8753fbcd61100e92b1180c1bedcef9b15d6c20e635c37a79f9ae1862a38cbd4a","7918575","1559999700","2019-06-08 13:15:00","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0038998","0.914971076","244.40","","",""
"0x5d108bbd1ed466e10e51610185bc626174ae8ea0a756ef12d002ea3801ed76d2","7918589","1559999844","2019-06-08 13:17:24","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00092486","0.2169906532","244.40","Error(0)","Reverted",""
"0x06d4b30d471d5bb63f137794615e76f3af4c155d0a9ce06431f4bb069db94144","7918613","1560000257","2019-06-08 13:24:17","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00389956","0.9149147672","244.40","","",""
"0x3f446b4e10294562f972e4e40a315054b2fc619cf2020405efeb5154e953ca10","7919673","1560014507","2019-06-08 17:21:47","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.00096261","0.2258475582","244.40","","",""
"0x013f4107fa1b6270b655bf82ea2a24e2fcf2b846f9999559f4d3bf15693aa159","7921686","1560041603","2019-06-09 00:53:23","0x2b5634c42055806a59e9107ed44d43c426e58258","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","0.97166088","0","227.9710756656","0.0002016","0.047299392","231.43","","",""
"0xefc30b6889b4a629469b94659b59acdf86deaaa835b830d0440007806e082dcc","7921690","1560041723","2019-06-09 00:55:23","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","0.5","117.31","0.000373728","0.08768406336","231.43","","",""
"0xa943aa8e4725081273622ce799483cd8b66d204f2c1a9af1e1b256deb64a94f5","7921698","1560041834","2019-06-09 00:57:14","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.001830894","0.42956435028","231.43","","",""
"0xc05004ddf97b44947dd808931d135584e6fa0779079e3eaa96a61a8b72fdf773","7921706","1560041978","2019-06-09 00:59:38","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","0","0","0.000286367","0.06718742554","231.43","","",""
"0x5e2cfde44c986de54548431c57877887e041f0c31753dfdf1125685b9c2ef2cb","7924836","1560084455","2019-06-09 12:47:35","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","0.2","46.924","0.000124141","0.02912596142","231.43","","",""
"0xe2dd93fa55d5304d97b2882f438a60aa78698d965ef2c3a3d5c277afffadf2af","7924977","1560086587","2019-06-09 13:23:07","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00175758","0.4123634196","231.43","","",""
"0xda52d0528dc952c8b388d758b5e70a7db21c49953623828ff5f0b5c9730c3f9d","7924977","1560086587","2019-06-09 13:23:07","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.0000675675","0.01585268685","231.43","Error(0)","Reverted",""
"0xb39abc122d8179f2ff172b48d43de34309c43a1712040aef26a7273b1526da92","7927143","1560115604","2019-06-09 21:26:44","0xe20cb49635cdeae873b46f86223db0b8484144fd","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","1.75829374","0","412.5308772788","0.000126","0.02956212","231.43","","",""
"0x3a6f1ec0408afbf965c48daed79f4e529c291c8321eaf11b186730e15f66229b","7928050","1560128253","2019-06-10 00:57:33","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","1.34","314.3908","0.000373728","0.08768406336","247.96","","",""
"0x3a7dbd24d319f6839119cda77fa3ad0e112b4a94c65cca2590b5fad12f59d87d","7928535","1560134445","2019-06-10 02:40:45","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0125298756","2.939759413272","247.96","","",""
"0x9f69d7ba26f846594f324c6683201066c6a2267f690e8e8e8b0ee55fa4278e81","7928568","1560134957","2019-06-10 02:49:17","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.000459594","0.10782994428","247.96","","",""
"0xa289841dfcbd277cc6e8b8184159d0c3522af2cf1d5e6396596f35fb357cdc1e","7930023","1560154047","2019-06-10 08:07:27","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","0.54038","126.7839556","0.000372423","0.08737788426","247.96","","",""
"0xe7b810e8038a4ea76d3f27029d5c683b3fcbc97176d884f54747cbd873915363","7930099","1560155048","2019-06-10 08:24:08","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000842748","0.19772553576","247.96","","",""
"0xc784393b2a918e47dfe58d73823ef0f5e895e485e583f2b3ab188706725e9dc3","7930235","1560156923","2019-06-10 08:55:23","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b","","0","0","0","0.001696905","0.3981278511","247.96","","",""
"0xbb90e6e10668ec46f6d69274ad3f01b5965c1121c73ac96ae478af24076858c8","7930808","1560164522","2019-06-10 11:02:02","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","0","0","0","0.0001155","0.02709861","247.96","","",""
"0x130e300f573e040337328d488fb47b3d735214b0cd583cbcdb264ef3d370c04c","7930997","1560167151","2019-06-10 11:45:51","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xe41d2489571d322189246dafa5ebde1f4699f498","","0","0","0","0.000094348","0.02213592776","247.96","","",""
"0x99abd0cf10c80013458adf25cafab57056e250f692dc5b2abeddcae9011cf129","7931205","1560169759","2019-06-10 12:29:19","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xae76c84c9262cdb9abc0c2c8888e62db8e22a0bf","","0","0","0","0.000079522","0.01865745164","247.96","","",""
"0x913c0349f29596cc02b76b446b4370e7f61eb0e3736066ced05a380e8ef9d412","7932511","1560187762","2019-06-10 17:29:22","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x424b8dbd81cf88f2db0f56b7df61f5d5e8f6d748","","0","0.42","98.5404","0.000632163","0.14831808306","247.96","","",""
"0xabb2cc8fbcd43234628308902dbaf09eb5417ac6be5bd90b5d0ed1a230ac5ad7","7932715","1560190464","2019-06-10 18:14:24","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","0","0","0.0058366","1.369383092","247.96","","",""
"0x5cd5ae11ef965638104bb81c5fe2b499ace300fdbd4a37f7554e8014499e3c88","7933056","1560195020","2019-06-10 19:30:20","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0039149","0.918513838","247.96","","",""
"0xfb282187b10afd3b20dc9c15d55b718f0fb86a846e830e494e425e726e8ce0fc","7942366","1560321274","2019-06-12 06:34:34","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","0.1","23.462","0.00093368","0.2190600016","263.05","","",""
"0x9557e274e1faf7cbcb0c3dba5013911270ac0924a9a88cee4461cf554391f544","7944190","1560345725","2019-06-12 13:22:05","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000585144","0.13728648528","263.05","","",""
"0x7d800bf2a46fbab2d31097f050d8df795d961ad12026be7d35b224ac3143146c","7946480","1560376590","2019-06-12 21:56:30","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.001902701","0.44641170862","263.05","","",""
"0x55134c670b20c14697f44b4454d34b8e75a9072610e4a075ae92486dd61f148a","7946782","1560380700","2019-06-12 23:05:00","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x543ff227f64aa17ea132bf9886cab5db55dcaddf","","0","0","0","0.000045697","0.01072143014","263.05","","",""
"0x5554bf5ef019ff2e30dca30dd0e9f7e9e4049a0408bcbdda94c54e46239109f4","7946810","1560381033","2019-06-12 23:10:33","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000195751","0.04592709962","263.05","","",""
"0xd7a8c201284aaa4240a4c0513c00e984d74f40bae922953004f7902b8652e579","7946842","1560381522","2019-06-12 23:18:42","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000211326","0.04958130612","263.05","","",""
"0x6b5410492e042e79a510afaf318c1adeec7e8938258b7457b78730b8e8f6c36b","7951392","1560443210","2019-06-13 16:26:50","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000392512","0.09209116544","255.09","","",""
"0xac5cd19eb8efe52deaca3beebaf7a573df51530fe4e1ecd173422b4b76d353af","7952668","1560460129","2019-06-13 21:08:49","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.003602961","0.84532670982","255.09","","",""
"0xae67aea74abeae60063d203a302b4e51c0040c973811cfc0f83a15f606cdd243","7952700","1560460506","2019-06-13 21:15:06","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00019639","0.0460770218","255.09","","",""
"0x55d0e84d91462f3f305f8318425c3073648938d772a5a3f250271ae08310fb69","7953259","1560467956","2019-06-13 23:19:16","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00019632","0.0460605984","255.09","","",""
"0x4850af7c8aa374a45121fe2b889e5feac9ea1ea9b4a5f1cf653ea55c10617301","7954198","1560480514","2019-06-14 02:48:34","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00097489","0.2287286918","263.76","","",""
"0xbc492af766ed350425d12c0d0b1f91642ffc8716b5bbadfc0b57c52c09cd7324","7954288","1560481614","2019-06-14 03:06:54","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0049210448","1.154575530976","263.76","","",""
"0xfcdb67e109586d340625620fa2130dd34373ae1192f2bfcb14977a1d90e124f5","7954303","1560481827","2019-06-14 03:10:27","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.0004287752","0.100599237424","263.76","","",""
"0x34f9cce69c9d6b6fe45566233943016a127c6c116a4399bc4ac25d2dfc380645","7956592","1560512933","2019-06-14 11:48:53","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000507336","0.11903117232","263.76","","",""
"0xbd8447f4ea491f000fc5aafaf0278c960f2b0dacc84f98b44760bc2f93cbddef","7958046","1560532665","2019-06-14 17:17:45","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00058917","0.1382310654","263.76","","",""
"0x14ea780b52df992f878a92355b0bf74f921ad14897b17985320e97a2c1db0a20","7958049","1560532676","2019-06-14 17:17:56","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","0","0","0","0.0000231","0.005419722","263.76","","",""
"0x20c854c1b8e9eafe52f4d141300d7868d5be13f93a846dff9fc4613f297c1e5e","7958151","1560534127","2019-06-14 17:42:07","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0002535624","0.059490810288","263.76","","",""
"0x2bcd5b807c2c5e5ec392a9063b173cf26fb188b05834398f765b718b650659dd","7958157","1560534178","2019-06-14 17:42:58","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0002535624","0.059490810288","263.76","","",""
"0xb9682c9044a1168615643ebfb0e1b14e67f67c6e830800dd823d15b5281486dd","7958161","1560534239","2019-06-14 17:43:59","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x0cbe2df57ca9191b64a7af3baa3f946fa7df2f25","","0","0","0","0.00017715","0.041562933","263.76","","",""
"0x5d4d2479a0aa8b83ef6d81eb9345075744442f681480b25b4f0d7e5e3b742204","7958165","1560534310","2019-06-14 17:45:10","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xa1ecdcca26150cf69090280ee2ee32347c238c7b","","0","0","0","0.002547921","0.59779322502","263.76","Error(1)","Reverted",""
"0xf1d98c49aa74c355257cb2d6850f3c5d6432380bc350de44f2bdfe8dd7752fa3","7958173","1560534392","2019-06-14 17:46:32","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xab56a7756787409b8ba3e18ce37b5976a08d0e8b","","0","4","938.48","0.00042","0.0985404","263.76","","",""
"0x11e44003047db036c1217bf1119b527b1885a860d8a230447d4c0b9502299008","7966371","1560645483","2019-06-16 00:38:03","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","0.2","46.924","0.000280296","0.06576304752","268.53","","",""
"0x1e632cdb9c729190cc062fb768514c1d4330e0557d6b8fbfa7670dc73b92f4f3","7985277","1560900899","2019-06-18 23:34:59","0x03bdf69b1322d623836afbd27679a1c0afa067e9","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","2.522202","0","591.75903324","0.000086099998005","0.0202007815319331","264.51","","",""
"0xc655a60b2ddd4de754e5281dc92cb85326084575cecab562f104d8946c69212d","7985297","1560901161","2019-06-18 23:39:21","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x424b8dbd81cf88f2db0f56b7df61f5d5e8f6d748","","0","2.2","516.164","0.00060206","0.1412553172","264.51","","",""
"0xe798783ae5e5620a6d41b0f5cc85b47297e412baa1fe19a24207ab083e59898f","7992009","1560991700","2019-06-20 00:48:20","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x424b8dbd81cf88f2db0f56b7df61f5d5e8f6d748","","0","0.555","130.2141","0.00060206","0.1412553172","272.21","","",""
"0xbaab6d76f0c91865dc5848b1fc09b1f9a7e9a3672cd94b2da3909a8f4e18984d","7995584","1561040553","2019-06-20 14:22:33","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.02974024","6.9776551088","272.21","","",""
"0x246d68267f3f58bd7082cf4b99471b195409dc3759b841ca0df2ca48586b4e38","7995584","1561040553","2019-06-20 14:22:33","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00928228","2.1778085336","272.21","Error(0)","Reverted",""
"0x5db2f2014b020c87039833b88021c6ad7c5a63af57a257410346019aa76c6dab","7995632","1561041193","2019-06-20 14:33:13","0x58f56615180a8eea4c462235d9e215f72484b4a3","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","2.39","0","560.7418","0.00042","0.0985404","272.21","","",""
"0xf091a1da0b4f6b79d3e55a1601910e19ec976b03d3a8b5ae1e9b6fc3ae3df115","7996691","1561055431","2019-06-20 18:30:31","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","2.39","560.7418","0.000372423","0.08737788426","272.21","","",""
"0xfa4239515e22955f4802c91d279d8a937dce6e7d4c90062fb1b10d91ba320895","7996817","1561057186","2019-06-20 18:59:46","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000195681","0.04591067622","272.21","","",""
"0x08dd370b1f45c32945d4827671924fa7bfebe3d61a8516adc7140d79facbefab","7996820","1561057197","2019-06-20 18:59:57","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000195687","0.04591208394","272.21","","",""
"0x6dc638d7ab7b5098773b5c442c13e4a4ab43ad14101aea5ce96ed7d323feb10e","8002151","1561129140","2019-06-21 14:59:00","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000391386","0.09182698332","296.03","","",""
"0x5003b423d09b1f36593d9daa5c4408980314b78170a41a3a96c1456604df7652","8003419","1561146623","2019-06-21 19:50:23","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0002153261","0.050519809582","296.03","","",""
"0x9338ee1888c8d744b3f83908a0a107521b6e113ff585d3e9e8ede5c2a56ccb62","8012043","1561262254","2019-06-23 03:57:34","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","0","0","0.000312778","0.07338397436","307.37","","",""
"0x4ab722cdb2cd2d50bc4d20ef17850a5d7930c0065ab41f29f1cc51804696e427","8015371","1561307480","2019-06-23 16:31:20","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0039264","0.921211968","307.37","","",""
"0x3918e288378d871a201ed19f2d2e5deec99049b00e5ef01f847ed93081964252","8015386","1561307707","2019-06-23 16:35:07","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00391362","0.9182135244","307.37","","",""
"0x59f886b2385b9e9c41dc3b8cc758377c8907a7b060ee063bbfe0e5d12c39e03d","8015510","1561309504","2019-06-23 17:05:04","0x2b5634c42055806a59e9107ed44d43c426e58258","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","1.8882294","0","443.016381828","0.000567","0.13302954","307.37","","",""
"0x3f90ba0faea7bf1b5256bf17d9e0f749f18c2a36659f751cb7f03c6595eeb9aa","8015538","1561309859","2019-06-23 17:10:59","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","0.8","187.696","0.000093432","0.02192101584","307.37","","",""
"0x1daa6bbddae53eb1c3c97ae9e8415e162fa2449296a528d359a5532f6c9038d7","8015589","1561310600","2019-06-23 17:23:20","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x5a4ade4f3e934a0885f42884f7077261c3f4f66f","","0","0","0","0.0000649671","0.015242581002","307.37","","",""
